date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2022-11-10,31052132.54555089,-9437.716154508293,31061570.2617054,18028.19921875,-6.0318462576844585,20
2022-11-11,31064907.092048235,-9437.716154508293,31074344.808202744,18349.69921875,-5.993188669594818,20
2022-11-14,30898888.71689374,-9437.716154508293,30908326.43304825,18329.150390625,-6.49558380067583,20
2022-11-15,31150760.10552556,-9437.716154508293,31160197.82168007,18403.400390625,-5.733385283858139,20
2022-11-16,31130751.820602007,-9437.716154508293,31140189.536756516,18409.650390625,-5.793933189579537,20
2022-11-17,31025047.01202161,-9437.716154508293,31034484.728176117,18343.900390625,-6.113810920663354,20
2022-11-18,30779729.664599963,-9437.716154508293,30789167.38075447,18307.650390625,-6.85617597995064,20
2022-11-21,30599081.674380846,-9437.716154508293,30608519.390535355,18159.94921875,-7.402842399503273,20
2022-11-22,31087483.428832598,-9437.716154508293,31096921.144987106,18244.19921875,-5.924869475002326,20
2022-11-23,31306670.966725893,-9437.716154508293,31316108.6828804,18267.25,-5.261576922423428,20
2022-11-24,31264261.59752042,-9437.716154508293,31273699.313674927,18484.099609375,-5.3899136838284285,20
2022-11-25,31060526.30423505,-9437.716154508293,31069964.020389557,18512.75,-6.006445554355889,20
2022-11-28,31370780.983853884,-9437.716154508293,31380218.700008392,18562.75,-5.067570925023146,20
2022-11-29,31016641.638930865,-9437.716154508293,31026079.355085373,18618.05078125,-6.13924677083223,20
2022-11-30,31667932.107804842,-9437.716154508293,31677369.82395935,18758.349609375,-4.168349512156722,20
2022-12-01,31719952.912115283,-8907.287967497017,31728860.20008278,18812.5,-4.010927186006608,20
2022-12-02,31962786.17736072,-8907.287967497017,31971693.465328217,18696.099609375,-3.276079311424762,20
2022-12-05,31967382.552057452,-8907.287967497017,31976289.840024948,18701.05078125,-3.26217003020145,20
2022-12-06,31983691.426244922,-8907.287967497017,31992598.714212418,18642.75,-3.212817065642115,20
2022-12-07,31746850.847837634,-8907.287967497017,31755758.13580513,18560.5,-3.9295302205775484,20
2022-12-08,32299642.21390552,-8907.287967497017,32308549.501873016,18609.349609375,-2.256705206131493,20
2022-12-09,31801515.51167316,-8907.287967497017,31810422.799640656,18496.599609375,-3.7641072008208987,20
2022-12-12,31879654.629165836,-8907.287967497017,31888561.91713333,18497.150390625,-3.5276471575349966,20
2022-12-13,32426756.405365176,-8907.287967497017,32435663.693332672,18608.0,-1.8720396483509094,20
2022-12-14,32458212.074327655,-8907.287967497017,32467119.36229515,18660.30078125,-1.7768503362224242,20
